City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Bredasdorp,ZA,50.29,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
5,Hermanus,ZA,54.9,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
6,Cape Town,ZA,57.27,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
7,Nikolskoye,RU,50.4,clear sky,59.7035,30.7861,Tourist House - Sablino
10,Port Lincoln,AU,52.25,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
12,New Norfolk,AU,53.74,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
15,Constitucion,CL,59.11,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
32,Port Macquarie,AU,57.16,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
38,Dali,CN,59.81,scattered clouds,25.7,100.1833,Dali Travelling With Hostel
41,Hobart,AU,54.1,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
42,Komsomolskiy,UZ,57.92,broken clouds,40.4272,71.7189,Ikathouse
53,Rocha,UY,56.7,few clouds,-34.4833,-54.3333,Beleza Pura B&B
55,Mildura,AU,50.07,clear sky,-34.2,142.15,Mercure Hotel Mildura
58,Port Elizabeth,ZA,57.09,few clouds,-33.918,25.5701,39 On Nile Guest House
69,Port Alfred,ZA,56.8,light rain,-33.5906,26.891,The Halyards Hotel
92,Port Hardy,CA,51.98,light rain,50.6996,-127.4199,Airport Inn
104,Pocatky,CZ,57.24,few clouds,49.2602,15.2402,Resort Svata Katerina
106,Mar Del Plata,AR,55.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
107,Yulara,AU,55.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
109,Ancud,CL,51.33,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
119,Korla,CN,50.27,clear sky,41.7597,86.1469,Gulisitan Hotel
127,Yellowknife,CA,52.41,few clouds,62.456,-114.3525,The Explorer Hotel
129,Vestmannaeyjar,IS,50.99,scattered clouds,63.4427,-20.2734,Glamping & Camping
143,Bridlington,GB,55.89,clear sky,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
144,Kristiansund,NO,54.25,light rain,63.1115,7.732,Thon Hotels Storgata
158,Argentan,FR,51.57,clear sky,48.75,-0.0167,Hostellerie De La Renaissance
160,Mehamn,NO,51.75,few clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
