City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Bluff,NZ,-46.6,168.3333,44.8,84,100,23.2,heavy intensity rain
1,Jamestown,US,42.097,-79.2353,71.1,68,90,5.99,mist
2,Hakkari,TR,37.5833,44.1667,55.65,45,0,6.17,clear sky
3,Bredasdorp,ZA,-34.5322,20.0403,50.29,87,13,0.0,few clouds
4,Atuona,PF,-9.8,-139.0333,77.56,74,15,17.78,few clouds
5,Hermanus,ZA,-34.4187,19.2345,54.9,71,37,7.11,scattered clouds
6,Cape Town,ZA,-33.9258,18.4232,57.27,55,20,12.66,few clouds
7,Nikolskoye,RU,59.7035,30.7861,50.4,85,0,6.71,clear sky
8,Bambous Virieux,MU,-20.3428,57.7575,72.21,88,75,13.8,broken clouds
9,Sao Luiz Gonzaga,BR,-28.4083,-54.9608,65.97,91,99,12.35,overcast clouds
10,Port Lincoln,AU,-34.7333,135.8667,52.25,67,76,25.84,broken clouds
11,Rikitea,PF,-23.1203,-134.9692,73.4,64,100,17.65,overcast clouds
12,New Norfolk,AU,-42.7826,147.0587,53.74,82,49,1.28,scattered clouds
13,Pevek,RU,69.7008,170.3133,23.65,91,99,8.37,overcast clouds
14,Albany,US,42.6001,-73.9662,67.75,86,100,0.25,overcast clouds
15,Constitucion,CL,-35.3333,-72.4167,59.11,53,0,19.62,clear sky
16,Vaini,TO,-21.2,-175.2,73.56,88,90,9.22,overcast clouds
17,San Andres,CO,12.5847,-81.7006,83.37,75,100,10.38,overcast clouds
18,Tocopilla,CL,-22.092,-70.1979,66.07,67,20,11.83,few clouds
19,Faanui,PF,-16.4833,-151.75,78.69,70,17,12.01,few clouds
20,Saint-Philippe,RE,-21.3585,55.7679,71.22,82,44,14.58,light rain
21,Maturin,VE,9.75,-63.1767,81.18,84,89,8.99,overcast clouds
22,Esperance,AU,-33.8667,121.9,42.64,70,72,9.42,broken clouds
23,Hojo,JP,33.9766,132.7777,66.51,64,0,4.12,clear sky
24,Mangrol,IN,21.1167,70.1167,80.91,83,16,6.24,few clouds
25,Puerto Ayora,EC,-0.7393,-90.3518,76.96,76,30,11.86,scattered clouds
26,Manggar,ID,-2.8833,108.2667,79.63,81,100,4.09,overcast clouds
27,Cockburn Town,TC,21.4612,-71.1419,83.16,70,89,18.45,overcast clouds
28,Saskylakh,RU,71.9167,114.0833,16.77,93,98,10.45,overcast clouds
29,Mayo,US,38.8876,-76.5119,88.21,71,44,5.01,scattered clouds
30,Chuy,UY,-33.6971,-53.4616,61.56,55,26,12.21,scattered clouds
31,Smithers,CA,54.7804,-127.1743,43.12,70,75,11.5,broken clouds
32,Port Macquarie,AU,-31.4333,152.9167,57.16,67,100,6.53,overcast clouds
33,Kapaa,US,22.0752,-159.319,80.58,85,90,4.0,mist
34,Walvis Bay,NA,-22.9575,14.5053,56.35,76,0,4.61,clear sky
35,Castro,BR,-24.7911,-50.0119,63.48,98,100,1.23,light rain
36,Husavik,IS,66.0449,-17.3389,44.51,99,100,17.38,overcast clouds
37,Caceres,ES,39.522,-6.3748,60.8,38,0,12.73,clear sky
