City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sioux Lookout,50.1001,-91.917,76.66,51,37,7.78,CA,2021-09-29 22:07:39
1,Faanui,-16.4833,-151.75,79.29,70,16,18.92,PF,2021-09-29 22:07:39
2,Bluff,-46.6,168.3333,46.8,57,89,21.83,NZ,2021-09-29 22:07:39
3,Tuatapere,-46.1333,167.6833,46.81,69,94,11.77,NZ,2021-09-29 22:07:40
4,Kaitangata,-46.2817,169.8464,47.93,64,98,12.15,NZ,2021-09-29 22:07:40
5,Mahebourg,-20.4081,57.7,71.89,78,40,11.5,MU,2021-09-29 22:07:40
6,Camacha,33.0833,-16.3333,69.22,64,75,16.11,PT,2021-09-29 22:07:41
7,Rikitea,-23.1203,-134.9692,73.35,68,100,17.78,PF,2021-09-29 22:07:42
8,Nokaneng,-19.6667,22.2667,76.44,18,1,3.53,BW,2021-09-29 22:07:42
9,Vaini,-21.2,-175.2,78.96,83,75,11.5,TO,2021-09-29 22:07:43
10,Bonavista,48.6499,-53.1147,56.12,94,100,16.35,CA,2021-09-29 22:07:43
11,Shahr-E Babak,30.1165,55.1186,69.75,15,0,4.05,IR,2021-09-29 22:07:43
12,Saint George,37.1041,-113.5841,79.63,27,1,5.01,US,2021-09-29 22:03:45
13,Hualmay,-11.0964,-77.6139,65.3,78,66,6.35,PE,2021-09-29 22:07:44
14,Cape Town,-33.9258,18.4232,60.28,58,70,9.91,ZA,2021-09-29 22:07:39
15,Okhotsk,59.3833,143.3,35.47,94,100,30.0,RU,2021-09-29 22:07:44
16,Jalu,29.0331,21.5482,76.08,66,0,10.51,LY,2021-09-29 22:07:45
17,Port Alfred,-33.5906,26.891,60.12,73,100,19.26,ZA,2021-09-29 22:07:45
18,Busselton,-33.65,115.3333,58.08,86,4,6.85,AU,2021-09-29 22:07:45
19,Trier,49.7557,6.6394,49.24,88,4,4.99,DE,2021-09-29 22:07:46
20,Mar Del Plata,-38.0023,-57.5575,58.08,43,0,11.01,AR,2021-09-29 22:03:35
21,Wagar,16.1525,36.2032,90.7,28,56,7.0,SD,2021-09-29 22:07:47
22,Challans,46.8436,-1.8749,52.0,69,37,7.72,FR,2021-09-29 22:07:47
23,Muros,42.7762,-9.0603,62.24,87,95,9.01,ES,2021-09-29 22:07:47
24,Alice Springs,-23.7,133.8833,63.95,29,1,5.75,AU,2021-09-29 22:07:48
25,Milkovo,54.7167,158.6167,41.04,58,80,4.92,RU,2021-09-29 22:07:48
26,Mataura,-46.1927,168.8643,46.47,92,99,7.47,NZ,2021-09-29 22:07:49
27,College,64.8569,-147.8028,31.66,74,90,4.61,US,2021-09-29 22:07:49
28,Umtata,-31.5889,28.7844,54.63,96,100,3.22,ZA,2021-09-29 22:07:50
29,Kapaa,22.0752,-159.319,84.18,66,20,5.01,US,2021-09-29 22:07:50
30,San Patricio,28.017,-97.5169,86.72,59,13,12.86,US,2021-09-29 22:07:50
31,Nandyal,15.4833,78.4833,75.09,88,34,4.21,IN,2021-09-29 22:07:50
32,Albany,42.6001,-73.9662,60.62,72,95,4.74,US,2021-09-29 22:05:22
33,Jamestown,42.097,-79.2353,62.24,55,1,4.61,US,2021-09-29 22:07:51
34,Nemuro,43.3236,145.575,60.17,82,100,20.58,JP,2021-09-29 22:07:51
35,Hithadhoo,-0.6,73.0833,81.0,75,82,3.62,MV,2021-09-29 22:07:52
36,Nome,64.5011,-165.4064,37.47,75,75,13.8,US,2021-09-29 22:07:52
37,Richards Bay,-28.783,32.0377,65.07,87,100,2.86,ZA,2021-09-29 22:07:52
38,Yar-Sale,66.8333,70.8333,38.14,92,100,12.71,RU,2021-09-29 22:07:53
39,Upernavik,72.7868,-56.1549,30.79,62,87,1.01,GL,2021-09-29 22:07:53
40,Bredasdorp,-34.5322,20.0403,56.28,80,100,18.97,ZA,2021-09-29 22:07:53
41,Lata,40.1629,-8.3327,60.82,90,86,2.08,PT,2021-09-29 22:07:54
